protected_area_name,country,iso3,iucn_category,area_km2,management_type_rank,monitoring_capacity_rank,governance_score_total,notes
Serengeti-Ngorongoro Biosphere Reserve,Tanzania,TZA,II,14763,4,4,32,Strong management capacity
Kruger,South Africa,ZAF,II,19485,5,5,36,Excellent governance framework
Etosha,Namibia,NAM,II,22935,4,3,28,Good community involvement
Hwange,Zimbabwe,ZWE,II,14651,3,2,18,Political challenges
Kafue,Zambia,ZMB,II,22400,3,3,24,Improving management
Ruaha,Tanzania,TZA,II,20226,4,3,28,Strong conservation commitment
Chobe,Botswana,BWA,II,11700,4,4,36,Stable governance
Tsavo East,Kenya,KEN,II,13747,3,3,24,Security concerns
Murchison Falls,Uganda,UGA,II,3840,3,3,24,Recovery phase
Zakouma,Chad,TCD,II,3000,3,3,20,Improving security
,,,,,,,,
# SCORING GUIDANCE FOR GOVERNANCE (Total 0-40 points):,,,,,,,,
# Management Type (0-10 points):,,,,,,,,
#   - 5 = Government/state managed with strong capacity,,,,,,,,
#   - 4 = Co-managed with communities/NGOs,,,,,,,,
#   - 3 = Private conservancy with permits,,,,,,,,
#   - 2 = Community conservancy,,,,,,,,
#   - 1 = Unclear/weak management,,,,,,,,
#   - Multiply rank by 2 for score out of 10,,,,,,,,
#,,,,,,,,
# Monitoring Capacity (0-5 points):,,,,,,,,
#   - 5 = Regular monitoring with technology (GPS, cameras),,,,,,,
#   - 4 = Regular patrol and reporting,,,,,,,,
#   - 3 = Occasional monitoring,,,,,,,,
#   - 2 = Minimal capacity,,,,,,,,
#   - 1 = No monitoring,,,,,,,,
